Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Sale price,Categories,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
variation,AB-682-M,,1,0,visible,,,9000,8000,,,CUSTOMIZED HERITAGE TOPS,Size,M,1,1
variation,AB-682-L,,1,0,visible,,,9000,8000,,,CUSTOMIZED HERITAGE TOPS,Size,L,1,1
variation,AB-682-XL,,1,0,visible,,,9000,8000,,,CUSTOMIZED HERITAGE TOPS,Size,XL,1,1
variation,AB-682-XXL,,1,0,visible,,,9000,8000,,,CUSTOMIZED HERITAGE TOPS,Size,XXL,1,1
variable,AB-681,CUSTOMIZED MULTICOLOURED POLO,1,0,visible,"VIBRANT TOPS FEATURING CREATIVE BLENDS OF COLORS, PERFECT FOR A STANDOUT CASUAL LOOK.","VIBRANT TOPS FEATURING CREATIVE BLENDS OF COLORS, PERFECT FOR A STANDOUT CASUAL LOOK.

Care: Hand wash in cold water or dry clean. Store in a cool, dry place away from direct sunlight.",,,Bespoke Wears,customized-multicoloured-polo.jpg,,Size,"S, M, L, XL, XXL",1,1
variation,AB-681-S,,1,0,visible,,,11000,10000,,,CUSTOMIZED MULTICOLOURED POLO,Size,S,1,1
variation,AB-681-M,,1,0,visible,,,11000,10000,,,CUSTOMIZED MULTICOLOURED POLO,Size,M,1,1
variation,AB-681-L,,1,0,visible,,,11000,10000,,,CUSTOMIZED MULTICOLOURED POLO,Size,L,1,1
variation,AB-681-XL,,1,0,visible,,,11000,10000,,,CUSTOMIZED MULTICOLOURED POLO,Size,XL,1,1
variation,AB-681-XXL,,1,0,visible,,,11000,10000,,,CUSTOMIZED MULTICOLOURED POLO,Size,XXL,1,1
variable,AB-658,FLORAL DESIGN,1,1,visible,"BATIK FABRICS WITH FLORAL MOTIF,IDEAL FOR LIVELY AND CHEERFUL OUTFITS","BATIK FABRICS WITH FLORAL MOTIF,IDEAL FOR LIVELY AND CHEERFUL OUTFITS

Care: Hand wash in cold water or dry clean. Store in a cool, dry place away from direct sunlight.",,,Batik,floral-design.jpg,,Size,"3 yards, 6 yards",1,1
variation,AB-658-3-yards,,1,0,visible,,,16000,15000,,,FLORAL DESIGN,Size,3 yards,1,1
variation,AB-658-6-yards,,1,0,visible,,,16000,15000,,,FLORAL DESIGN,Size,6 yards,1,1
variable,AB-715,GOWN,1,0,visible,Handcrafted Adire piece from AdireBloom.,"Handcrafted Adire piece from AdireBloom.

Care: Hand wash in cold water or dry clean. Store in a cool, dry place away from direct sunlight.",,,Gowns,gowm.jpg,,Size,"S, M, L, XL, XXL",1,1
variation,AB-715-S,,1,0,visible,,,13000,12000,,,GOWN,Size,S,1,1
variation,AB-715-M,,1,0,visible,,,13000,12000,,,GOWN,Size,M,1,1
variation,AB-715-L,,1,0,visible,,,13000,12000,,,GOWN,Size,L,1,1
variation,AB-715-XL,,1,0,visible,,,13000,12000,,,GOWN,Size,XL,1,1
variation,AB-715-XXL,,1,0,visible,,,13000,12000,,,GOWN,Size,XXL,1,1
variable,AB-686,GOWN,1,1,visible,"Vibrant tops featuring creative blends of colors, perfect for a standout casual look.","Vibrant tops featuring creative blends of colors, perfect for a standout casual look.

Care: Hand wash in cold water or dry clean. Store in a cool, dry place away from direct sunlight.",,,Gowns,gown.png,,Size,"S, M, L, XL, XXL",1,1
variation,AB-686-S,,1,0,visible,,,13000,12000,,,GOWN,Size,S,1,1
variation,AB-686-M,,1,0,visible,,,13000,12000,,,GOWN,Size,M,1,1
variation,AB-686-L,,1,0,visible,,,13000,12000,,,GOWN,Size,L,1,1
variation,AB-686-XL,,1,0,visible,,,13000,12000,,,GOWN,Size,XL,1,1
variation,AB-686-XXL,,1,0,visible,,,13000,12000,,,GOWN,Size,XXL,1,1
variable,AB-662,GUINEA BROCADE V1,1,0,visible,High Quality fabrics with classic designs,"High Quality fabrics with classic designs

Care: Hand wash in cold water or dry clean. Store in a cool, dry place away from direct sunlight.",,,Tie & Dye Fabrics,guinea-brocade-v1.jpg,,Size,"3 yards, 6 yards",1,1
variation,AB-662-3-yards,,1,0,visible,,,32000,30000,,,GUINEA BROCADE V1,Size,3 yards,1,1
variation,AB-662-6-yards,,1,0,visible,,,32000,30000,,,GUINEA BROCADE V1,Size,6 yards,1,1
variable,AB-719,Marble Design,1,0,visible,Handcrafted Adire piece from AdireBloom.,"Handcrafted Adire piece from AdireBloom.

Care: Hand wash in cold water or dry clean. Store in a cool, dry place away from direct sunlight.",,,Tie & Dye Fabrics,marble-design.jpg,,Size,"3 yards, 6 yards",1,1
variation,AB-719-3-yards,,1,0,visible,,,14900,12500,,,Marble Design,Size,3 yards,1,1
